name,email,telephone,constituency,party
Rod Phillips,rod.phillips@pc.ola.org,416-325-0145,Ajax,Progressive Conservative Party of Ontario
Tom Rakocevic,TRakocevic-QP@ndp.on.ca,416-326-7585,Humber River—Black Creek,New Democratic Party of Ontario
Kaleed Rasheed,kaleed.rasheed@pc.ola.org,416-326-7028,Mississauga East—Cooksville,Progressive Conservative Party of Ontario
Amarjot Sandhu,amarjot.sandhu@pc.ola.org,416-326-6903,Brampton West,Progressive Conservative Party of Ontario
Peggy Sattler,Psattler-qp@ndp.on.ca,416-325-6908,London West,New Democratic Party of Ontario
Mike Schreiner,Mschreiner@ola.org,416-325-4664,Guelph,Green Party of Ontario
Sandy Shaw,SShaw-CO@ndp.on.ca,416-326-6890,Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario
Amanda Simard,asimard.mpp@liberal.ola.org,416-325-6206,Glengarry—Prescott—Russell,Ontario Liberal Party
Gurratan Singh,GSingh-QP@ndp.on.ca,416-326-7178,Brampton East,New Democratic Party of Ontario
Sara Singh,SSingh-QP@ndp.on.ca,416-326-7610,Brampton Centre,New Democratic Party of Ontario
Jennifer (Jennie) Stevens,JStevens-CO@ndp.on.ca,416-326-7127,St. Catharines,New Democratic Party of Ontario
Marit Stiles,MStiles-QP@ndp.on.ca,416-326-7202,Davenport,New Democratic Party of Ontario
Peter Tabuns,tabunsp-qp@ndp.on.ca,416-325-3250,Toronto—Danforth,New Democratic Party of Ontario
Monique Taylor,mtaylor-qp@ndp.on.ca,416-325-1796,Hamilton Mountain,New Democratic Party of Ontario
John Vanthof,jvanthof-qp@ndp.on.ca,416-325-2000,Timiskaming—Cochrane,New Democratic Party of Ontario
Jamie West,JWest-QP@ndp.on.ca,416-326-7144,Sudbury,New Democratic Party of Ontario
Jim Wilson,jwilson@ola.org,416-325-2069,Simcoe—Grey,Independent
Kathleen O. Wynne,kwynne.mpp.co@liberal.ola.org,416-325-4705,Don Valley West,Ontario Liberal Party
Kevin Yarde,KYarde-QP@ndp.on.ca,416-326-6727,Brampton North,New Democratic Party of Ontario
