"name","party","constituency","email","photo","link"
"Brad Michaleski","PC","Dauphin","Brad.Michaleski@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/michaleski.jpg","https://gov.mb.ca/legislature/members/info/michaleski.html"
"Andrew Micklefield","PC","Rossmere","Andrew.Micklefield@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/micklefield.jpg","https://gov.mb.ca/legislature/members/info/micklefield.html"
"Janice Morley-Lecomte","PC","Seine River","Janice.Morley-Lecomte@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/morley-lecomte.jpg","https://gov.mb.ca/legislature/members/info/morley-lecomte.html"
"Jamie Moses","NDP","St. Vital","Jamie.Moses@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/moses.jpg","https://gov.mb.ca/legislature/members/info/moses.html"
"Lisa Naylor","NDP","Wolseley","Lisa.Naylor@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/naylor.jpg","https://gov.mb.ca/legislature/members/info/naylor.html"
"Greg Nesbitt","PC","Riding Mountain","Greg.Nesbitt@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/nesbitt.jpg","https://gov.mb.ca/legislature/members/info/nesbitt.html"
"Hon. Brian Pallister","Premier","Fort Whyte","","https://gov.mb.ca/legislature/img/mla/pallister.jpg","https://gov.mb.ca/legislature/members/info/pallister.html"
"Hon. Blaine Pedersen","Minister of  Agriculture and Resource Development","Midland","Minister of Agriculture and Resource Development
PC
 minagr@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/pedersen.jpg","https://gov.mb.ca/legislature/members/info/pedersen.html"
"Doyle Piwniuk","PC","Turtle Mountain","Doyle.Piwniuk@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/piwniuk.jpg","https://gov.mb.ca/legislature/members/info/piwniuk.html"
"Jon Reyes","PC","Waverley","Jon.Reyes@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/reyes.jpg","https://gov.mb.ca/legislature/members/info/reyes.html"
"Adrien Sala","NDP","St. James","Adrien.Sala@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/sala.jpg","https://gov.mb.ca/legislature/members/info/sala.html"
"Mintu Sandhu","NDP","The Maples","Mintu.Sandhu@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/sandhu.jpg","https://gov.mb.ca/legislature/members/info/sandhu.html"
"Hon. Ron Schuler","Minister of Infrastructure","Springfield-Ritchot","PC
 minmi@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/schuler.jpg","https://gov.mb.ca/legislature/members/info/schuler.html"
"Andrew Smith","PC","Lagimodière","Andrew.Smith@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/smith2.jpg","https://gov.mb.ca/legislature/members/info/smith.html"
"Bernadette Smith","NDP","Point Douglas","Bernadette.Smith@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/smith.jpg","https://gov.mb.ca/legislature/members/info/smith2.html"
"Dennis Smook","PC","La Vérendrye","Dennis.Smook@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/smook.jpg","https://gov.mb.ca/legislature/members/info/smook.html"
"Hon. Rochelle Squires","<strong>Minister of  Families</strong>","Riel","Minister of Families","https://gov.mb.ca/legislature/img/mla/squires.jpg","https://gov.mb.ca/legislature/members/info/squires.html"
"Hon.  Heather Stefanson","Minister <strong>of Health and Seniors Care</strong>","Tuxedo","Minister of Health and Seniors Care
PC
 minhsc@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/stefanson.jpg","https://gov.mb.ca/legislature/members/info/stefanson.html"
"James Teitsma","PC","Radisson","james.teitsma@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/teitsma.jpg","https://gov.mb.ca/legislature/members/info/teitsma.html"
"Mark Wasyliw","NDP","Fort Garry","Mark.Wasyliw@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/wasyliw.jpg","https://gov.mb.ca/legislature/members/info/wasyliw.html"
"Hon. Jeff Wharton","Minister of  Crown Services","Red River North","Minister of Crown Services
PC
 mincrown@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/wharton.jpg","https://gov.mb.ca/legislature/members/info/wharton.html"
"Matt Wiebe","NDP","Concordia","matt.wiebe@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/wiebe.jpg","https://gov.mb.ca/legislature/members/info/wiebe.html"
"Ian Wishart","PC","Portage la Prairie","Ian.Wishart@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/wishart.jpg","https://gov.mb.ca/legislature/members/info/wishart.html"
"Rick Wowchuk","PC","Swan River","rick.wowchuk@leg.gov.mb.ca","https://gov.mb.ca/legislature/img/mla/wowchuk.jpg","https://gov.mb.ca/legislature/members/info/wowchuk.html"
